City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,jaicos,-7.3592,-41.1378,20.83,92,99,2.06,BR,2023-04-19 02:41:20
68,jatoi shimali,29.5165,70.8503,27.87,39,27,2.17,PK,2023-04-19 02:41:20
69,katsuura,35.1333,140.3,20.99,69,7,6.31,JP,2023-04-19 02:37:06
70,sao jose da coroa grande,-8.8978,-35.1478,25.55,87,94,3.23,BR,2023-04-19 02:37:12
71,medina,24.4686,39.6142,21.24,68,0,4.12,SA,2023-04-19 02:41:20
72,port shepstone,-30.7414,30.455,20.17,49,0,2.7,ZA,2023-04-19 02:41:20
73,lerwick,60.1545,-1.1494,7.0,83,97,2.78,GB,2023-04-19 02:36:56
74,kilindoni,-7.9139,39.6668,26.16,85,100,6.07,TZ,2023-04-19 02:41:20
75,invercargill,-46.4,168.35,14.87,61,21,1.07,NZ,2023-04-19 02:33:23
76,shetpe,44.1667,52.1167,7.6,30,86,8.67,KZ,2023-04-19 02:41:20
77,cabo san lucas,22.8909,-109.9124,27.61,64,40,4.63,MX,2023-04-19 02:36:57
78,kingston,17.997,-76.7936,27.53,85,75,4.12,JM,2023-04-19 02:39:45
79,puerto ayora,-0.7393,-90.3518,24.75,100,100,0.89,EC,2023-04-19 02:36:45
80,longyearbyen,78.2186,15.6401,0.91,86,100,8.75,SJ,2023-04-19 02:36:56
81,rikaze,29.25,88.8833,9.69,30,14,0.71,CN,2023-04-19 02:41:21
82,utrik,11.2278,169.8474,26.27,80,100,8.76,MH,2023-04-19 02:37:26
83,nova vicosa,-17.8919,-39.3719,25.8,87,39,5.87,BR,2023-04-19 02:41:21
84,puerto armuelles,8.2833,-82.8667,26.99,83,100,1.57,PA,2023-04-19 02:41:21
85,ancud,-41.8697,-73.8203,12.41,95,100,1.81,CL,2023-04-19 02:36:52
86,ouesso,1.6136,16.0517,21.37,94,89,0.46,CG,2023-04-19 02:41:21
87,maracaju,-21.6144,-55.1683,19.58,94,100,2.72,BR,2023-04-19 02:41:21
88,along,28.1667,94.7667,28.38,48,72,0.33,IN,2023-04-19 02:41:21
89,peace river,56.2501,-117.286,11.17,29,75,5.66,CA,2023-04-19 02:41:22
90,bouca,6.5105,18.2733,23.52,76,44,1.32,CF,2023-04-19 02:41:22
91,al bardiyah,31.7561,25.0865,15.5,75,100,5.36,LY,2023-04-19 02:41:22
92,papatowai,-46.5619,169.4708,13.74,71,92,2.84,NZ,2023-04-19 02:36:49
93,itaituba,-4.2761,-55.9836,23.63,93,100,0.68,BR,2023-04-19 02:41:22
94,zag,46.9441,99.165,-2.32,13,49,8.07,MN,2023-04-19 02:41:22
95,plastun,44.7561,136.2939,9.23,67,96,2.15,RU,2023-04-19 02:41:23
96,stephenville,32.2207,-98.2023,22.07,64,0,7.72,US,2023-04-19 02:41:23
